Product,Quantity Ordered,Price Each,Month,Hour,Day,City,Revenue
27in FHD Monitor,1.0,149.99,4,18,Sunday,Boston,149.99
34in Ultrawide Monitor,1.0,379.99,4,10,Monday,San Francisco,379.99
AA Batteries (4-pack),1.0,3.84,4,12,Wednesday,Seattle,3.84
AA Batteries (4-pack),1.0,3.84,4,22,Tuesday,San Francisco,3.84
AA Batteries (4-pack),1.0,3.84,4,13,Tuesday,Portland,3.84
AA Batteries (4-pack),1.0,3.84,4,11,Wednesday,New York City,3.84
AA Batteries (4-pack),1.0,3.84,4,22,Thursday,Los Angeles,3.84
Wired Headphones,1.0,11.99,4,16,Sunday,Los Angeles,11.99
Lightning Charging Cable,1.0,14.95,4,10,Saturday,San Francisco,14.95
Bose SoundSport Headphones,1.0,99.99,4,7,Tuesday,Portland,99.99
AAA Batteries (4-pack),1.0,2.99,4,13,Tuesday,Los Angeles,2.99
AA Batteries (4-pack),1.0,3.84,4,10,Monday,New York City,3.84
USB-C Charging Cable,1.0,11.95,4,11,Thursday,San Francisco,11.95
Bose SoundSport Headphones,1.0,99.99,4,13,Sunday,Los Angeles,99.99
AAA Batteries (4-pack),1.0,2.99,4,11,Monday,San Francisco,2.99
27in FHD Monitor,1.0,149.99,4,17,Friday,New York City,149.99
AAA Batteries (4-pack),2.0,2.99,4,15,Tuesday,San Francisco,5.98
AA Batteries (4-pack),1.0,3.84,4,14,Thursday,New York City,3.84
ThinkPad Laptop,1.0,999.99,4,11,Tuesday,New York City,999.99
AAA Batteries (4-pack),1.0,2.99,4,21,Thursday,San Francisco,2.99
20in Monitor,1.0,109.99,4,7,Friday,Boston,109.99
Apple Airpods Headphones,1.0,150.0,4,18,Tuesday,Seattle,150.0
AAA Batteries (4-pack),3.0,2.99,4,18,Friday,New York City,8.97
AA Batteries (4-pack),1.0,3.84,4,20,Monday,Dallas,3.84
AA Batteries (4-pack),1.0,3.84,4,12,Monday,Los Angeles,3.84
AA Batteries (4-pack),1.0,3.84,4,5,Saturday,Los Angeles,3.84
AAA Batteries (4-pack),1.0,2.99,4,11,Monday,New York City,2.99
27in 4K Gaming Monitor,1.0,389.99,4,19,Tuesday,San Francisco,389.99
Bose SoundSport Headphones,1.0,99.99,4,21,Tuesday,Boston,99.99
Lightning Charging Cable,1.0,14.95,4,15,Wednesday,San Francisco,14.95
ThinkPad Laptop,1.0,999.99,4,9,Saturday,San Francisco,999.99
Flatscreen TV,1.0,300.0,4,14,Saturday,Portland,300.0
27in FHD Monitor,1.0,149.99,4,8,Thursday,New York City,149.99
Wired Headphones,1.0,11.99,4,20,Monday,San Francisco,11.99
Wired Headphones,1.0,11.99,4,20,Wednesday,Boston,11.99
Wired Headphones,2.0,11.99,4,9,Monday,New York City,23.98
USB-C Charging Cable,1.0,11.95,4,9,Thursday,San Francisco,11.95
34in Ultrawide Monitor,1.0,379.99,4,21,Monday,Boston,379.99
Flatscreen TV,1.0,300.0,4,20,Friday,San Francisco,300.0
AAA Batteries (4-pack),1.0,2.99,4,12,Monday,Boston,2.99
Wired Headphones,1.0,11.99,4,13,Monday,New York City,11.99
AAA Batteries (4-pack),1.0,2.99,4,21,Wednesday,Boston,2.99
USB-C Charging Cable,1.0,11.95,4,17,Thursday,Austin,11.95
AAA Batteries (4-pack),1.0,2.99,4,11,Sunday,Portland,2.99
AAA Batteries (4-pack),1.0,2.99,4,22,Friday,Boston,2.99
AAA Batteries (4-pack),1.0,2.99,4,14,Tuesday,Seattle,2.99
Flatscreen TV,1.0,300.0,4,17,Saturday,San Francisco,300.0
Apple Airpods Headphones,1.0,150.0,4,8,Wednesday,Boston,150.0
AAA Batteries (4-pack),2.0,2.99,4,17,Wednesday,Dallas,5.98
Apple Airpods Headphones,1.0,150.0,4,18,Tuesday,San Francisco,150.0
Apple Airpods Headphones,1.0,150.0,4,17,Thursday,New York City,150.0
Lightning Charging Cable,1.0,14.95,4,18,Friday,San Francisco,14.95
Bose SoundSport Headphones,1.0,99.99,4,6,Sunday,Boston,99.99
Lightning Charging Cable,1.0,14.95,4,14,Monday,Atlanta,14.95
USB-C Charging Cable,1.0,11.95,4,14,Thursday,Atlanta,11.95
iPhone,1.0,700.0,4,11,Tuesday,Boston,700.0
AAA Batteries (4-pack),1.0,2.99,4,15,Saturday,Boston,2.99
27in FHD Monitor,1.0,149.99,4,7,Friday,New York City,149.99
27in FHD Monitor,1.0,149.99,4,20,Sunday,Los Angeles,149.99
27in FHD Monitor,1.0,149.99,4,1,Thursday,Los Angeles,149.99
AAA Batteries (4-pack),1.0,2.99,4,20,Thursday,Seattle,2.99
Wired Headphones,1.0,11.99,4,9,Monday,Portland,11.99
AAA Batteries (4-pack),2.0,2.99,4,14,Friday,Los Angeles,5.98
AAA Batteries (4-pack),1.0,2.99,4,10,Friday,Los Angeles,2.99
Apple Airpods Headphones,1.0,150.0,4,14,Thursday,Seattle,150.0
AAA Batteries (4-pack),1.0,2.99,4,19,Saturday,Atlanta,2.99
Lightning Charging Cable,1.0,14.95,4,15,Monday,San Francisco,14.95
AAA Batteries (4-pack),1.0,2.99,4,19,Thursday,Dallas,2.99
34in Ultrawide Monitor,1.0,379.99,4,7,Thursday,San Francisco,379.99
USB-C Charging Cable,1.0,11.95,4,19,Sunday,Boston,11.95
